,occ1990dd,task_abstract,task_routine,task_manual
131,337,2.90609693527,7.32294750214,0.0218442585319
132,338,2.05435538292,7.95812225342,0.0
133,344,1.94727408886,7.03528594971,0.0704115480185
134,346,0.978738307953,4.71951293945,0.580404996872
135,347,0.738900959492,4.57590961456,0.333583056927
136,348,1.08469223976,2.6816842556,0.0340313240886
137,349,1.91458535194,5.2559967041,0.0
138,354,1.27231740952,3.26579594612,0.0233660060912
139,355,1.07383227348,1.26702642441,0.286289453506
140,356,1.01463317871,4.71836662292,0.0584328174591
141,357,0.387319535017,1.80809807777,0.473515599966
142,359,4.38558006287,2.7254345417,0.0436408445239
143,364,2.53634119034,5.25998163223,0.201330766082
144,365,1.92538046837,4.65135383606,0.389073044062
145,366,1.0,5.0,0.0
146,368,1.40819120407,5.58854866028,0.185425534844
147,373,2.99399161339,4.89248943329,0.178045645356
148,375,2.21205401421,1.60811972618,0.0340416878462
149,376,2.28179931641,3.14005661011,0.102603949606
150,377,1.73072814941,6.31015443802,0.0775194168091
151,378,2.29332590103,1.5589069128,0.00413436908275
152,379,2.13406229019,6.76317548752,0.0631169825792
153,383,2.33922767639,8.34134483337,0.0012321472168
154,384,0.392801880836,5.42520189285,0.0
155,385,1.78334975243,7.16063213348,0.244863197207
156,386,1.85208010674,6.13336372375,0.0822200477123
157,387,2.61584854126,1.36466121674,0.261610925198
158,389,1.76651465893,6.2676525116,0.0808455571532
159,405,0.690267682076,1.40457582474,2.21445512772
160,408,0.3140014112,2.65747904778,0.496631920338
161,415,2.18078351021,1.74617898464,0.36321029067
162,417,2.07358026505,1.55257725716,6.16767549515
163,418,1.65621614456,1.28025722504,3.80073285103
164,423,0.743217170238,1.32464122772,1.94223642349
165,425,0.476517945528,1.18634068966,2.43474602699
166,426,0.640198230743,1.3748486042,0.302366644144
167,427,2.07210922241,2.56119346619,1.78282904625
168,433,2.44234895706,3.65856981277,0.650247871876
169,434,1.15732860565,1.29805183411,0.0945746898651
170,435,1.12581264973,1.37538480759,2.30294346809
171,436,1.8583111763,5.03294420242,0.0926923677325
172,439,0.599187612534,2.40127015114,1.47286784649
173,444,0.44192135334,1.92077493668,1.6133992672
174,445,2.0,7.51666879654,0.0333380699158
175,447,1.51584839821,3.00055408478,2.14878845215
176,448,1.92301273346,3.31187844276,2.09672856331
177,450,3.8003115654,3.61083889008,1.81989181042
178,451,1.24067091942,3.71653103828,2.72950172424
179,453,1.03465890884,3.81806898117,2.35568356514
180,455,0.992653727531,3.30189013481,2.33147788048
181,457,1.56376194954,6.96534538269,0.0194050874561
182,458,2.44557857513,3.64507722855,0.106407694519
183,459,2.12700605392,2.45254302025,1.77721488476
184,461,0.811347842216,1.68162178993,1.09161019325
185,462,0.772757351398,1.9431027174,0.854369044304
186,464,1.55991077423,1.71303904057,2.14675307274
187,466,6.50117301941,1.80754518509,1.84131264687
188,467,1.0,7.5,0.0
189,468,1.6661491394,1.3046361208,0.313328772783
190,469,2.71256494522,1.61715638638,0.993376374245
191,470,2.9059035778,2.6522526741,1.4099509716
192,471,1.70105910301,1.39646923542,4.65349340439
193,472,0.744724273682,4.91824531555,1.51614773273
194,473,7.07646465302,1.53686070442,2.42067098618
195,475,7.04230880737,1.49502062798,1.33538925648
196,479,1.47911477089,3.71503686905,2.28836846352
197,488,1.04084813595,3.84588932991,2.23980545998
198,489,1.41272521019,3.38841962814,2.48161673546
199,496,1.17879581451,1.96222698689,3.16323852539
200,498,0.753692150116,2.56383323669,2.976521492
201,503,4.05050754547,5.51620769501,1.65530061722
202,505,2.0405395031,7.11856174469,2.30851650238
203,507,2.03553628922,7.10889911652,2.27501416206
204,508,2.94549226761,7.16691684723,2.15304517746
205,509,2.08210420609,7.3218331337,0.922983884811
206,514,1.40271759033,6.91362667084,0.385940283537
207,516,2.03631925583,7.05035591125,2.13088274002
208,518,2.13367915154,7.37820863724,1.80740499496
209,519,0.115987658501,2.79977488518,0.357956886292
210,523,2.27985477448,7.35849189758,0.584497749805
211,525,3.19787025452,7.69439411163,0.304185450077
